citekey,title,venue,Year
":17","Serverless Programming with Swift","Swift in the Cloud","2017"
":19","Automating Your AWS Workloads","AWS Certified Cloud Practitioner Study Guide","2019"
":19a","Domain 1: Design Resilient Architectures","AWS Certified Solutions Architect Practice Tests","2019"
":19b","Hello, Databases","AWS Certified Developer Official Study Guide","2019"
":19c","Refactor to Microservices","AWS Certified Developer Official Study Guide","2019"
":19d","Serverless Compute","AWS Certified Developer Official Study Guide","2019"
"adzic:17","Serverless Computing: Economic and Architectural Impact","Proceedings of the 2017 11th Joint Meeting on Foundations of Software Engineering","2017"
"akkus:18","SAND: Towards High-Performance Serverless Computing","Proceedings of the 2018 USENIX Conference on Usenix Annual Technical Conference","2018"
"albalawi:19","MECANO: Integrated Measurement of Compute and Network Operations","2019 IEEE International Symposium on Measurements and Networking, M and N 2019 - Proceedings","2019"
"alipour:17","Online machine learning for cloud resource provisioning of microservice backend systems","2017 IEEE International Conference on Big Data (Big Data)","2017"
"andrade:19","Optimizing Cloud Caches For Free: A Case for Autonomic Systems with a Serverless Computing Approach","2019 IEEE 4th International Workshops on Foundations and Applications of Self* Systems (FAS*W)","2019"
"ao:18","Sprocket: A Serverless Video Processing Framework","Proceedings of the ACM Symposium on Cloud Computing","2018"
"asghar:18","Feasibility of Serverless Cloud Services for Disaster Management Information Systems","2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","2018"
"asif:19","Towards the performance investigation of automatic melanoma diagnosis applications","International Journal of Advanced Computer Science and Applications","2019"
"aske:18","Supporting Multi-Provider Serverless Computing on the Edge","Proceedings of the 47th International Conference on Parallel Processing Companion","2018"
"aumala:19","Beyond Load Balancing: Package-Aware Scheduling for Serverless Platforms","2019 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing (CCGRID)","2019"
"aytekin:19","Exploiting Serverless Runtimes for Large-Scale Optimization","2019 IEEE 12th International Conference on Cloud Computing (CLOUD)","2019"
"back:18","Using a Microbenchmark to Compare Function as a Service Solutions","Service-Oriented and Cloud Computing","2018"
"bacou:19","Nested Virtualization Without the Nest","Proceedings of the 48th International Conference on Parallel Processing","2019"
"baldini:17","The Serverless Trilemma: Function Composition for Serverless Computing","Proceedings of the 2017 ACM SIGPLAN International Symposium on New Ideas, New Paradigms, and Reflections on Programming and Software","2017"
"bardsley:18","Serverless Performance and Optimization Strategies","2018 IEEE International Conference on Smart Cloud (SmartCloud)","2018"
"baresi:17","Empowering Low-Latency Applications Through a Serverless Edge Computing Architecture","Service-Oriented and Cloud Computing","2017"
"baresi:19","Towards a Serverless Platform for Edge Computing","2019 IEEE International Conference on Fog Computing (ICFC)","2019"
"bhardwaj:19","Addressing the Fragmentation Problem in Distributed and Decentralized Edge Computing: A Vision","2019 IEEE International Conference on Cloud Engineering (IC2E)","2019"
"bhattacharjee:19","BARISTA: Efficient and Scalable Serverless Serving System for Deep Learning Prediction Services","2019 IEEE International Conference on Cloud Engineering (IC2E)","2019"
"bortolini:20","Investigating Performance and Cost in Function-as-a-Service Platforms","Advances on P2P, Parallel, Grid, Cloud and Internet Computing","2020"
"boucher:18","Putting the ``Micro'' Back in Microservice","Proceedings of the 2018 USENIX Conference on Usenix Annual Technical Conference","2018"
"brogi:18","A microservice-based architecture for (customisable) analyses of Docker images","Software: Practice and Experience","2018"
"bushouse:18","Furnace: Self-service Tenant VMI for the Cloud","Research in Attacks, Intrusions, and Defenses","2018"
"chang:17","Visualizing serverless cloud application logs for program understanding","2017 IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC)","2017"
"chemodanov:19","Policy-Based Function-Centric Computation Offloading for Real-Time Drone Video Analytics","2019 IEEE International Symposium on Local and Metropolitan Area Networks (LANMAN)","2019"
"cheng:18","Autonomous Resource Scheduling for Real-Time and Stream Processing","2018 IEEE SmartWorld, Ubiquitous Intelligence Computing, Advanced Trusted Computing, Scalable Computing Communications, Cloud Big Data Computing, Internet of People and Smart City Innovation (SmartWorld/SCALCOM/UIC/ATC/CBDCom/IOP/SCI)","2018"
"christoforou:19","An effective resource management approach in a FaaS environment","CEUR Workshop Proceedings","2019"
"cicconetti:18","An Architectural Framework for Serverless Edge Computing: Design and Emulation Tools","2018 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)","2018"
"cicconetti:19","Low-latency Distributed Computation Offloading for Pervasive Environments","2019 IEEE International Conference on Pervasive Computing and Communications (PerCom","2019"
"corner:18","MicroMobile: Leveraging Mobile Advertising for Large-Scale Experimentation","Proceedings of the 16th Annual International Conference on Mobile Systems, Applications, and Services","2018"
"crane:17","An Exploration of Serverless Architectures for Information Retrieval","Proceedings of the ACM SIGIR International Conference on Theory of Information Retrieval","2017"
"crespo-cepeda:19","Challenges and Opportunities of Amazon Serverless Lambda Services in Bioinformatics","Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics","2019"
"das:18","EdgeBench: Benchmarking Edge Computing Platforms","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","2018"
"dukic:19","Happiness Index: Right-Sizing the Cloud's Tenant-Provider Interface","Proceedings of the 11th USENIX Conference on Hot Topics in Cloud Computing","2019"
"elgamal:18","Costless: Optimizing Cost of Serverless Computing through Function Fusion and Placement","2018 IEEE/ACM Symposium on Edge Computing (SEC)","2018"
"eyk:17","The SPEC Cloud Group's Research Vision on FaaS and Serverless Architectures","Proceedings of the 2nd International Workshop on Serverless Computing","2017"
"feng:18","Exploring Serverless Computing for Neural Network Training","2018 IEEE 11th International Conference on Cloud Computing (CLOUD)","2018"
"figiela:18","Performance evaluation of heterogeneous cloud functions","Concurrency Computation","2018"
"fingler:19","USETL: Unikernels for Serverless Extract Transform and Load Why Should You Settle for Less?","Proceedings of the 10th ACM SIGOPS Asia-Pacific Workshop on Systems","2019"
"fouladi:19","From Laptop to Lambda: Outsourcing Everyday Jobs to Thousands of Transient Functional Containers","Proceedings of the 2019 USENIX Conference on Usenix Annual Technical Conference","2019"
"frommgen:18","Don't Repeat Yourself: Seamless Execution and Analysis of Extensive Network Experiments","Proceedings of the 14th International Conference on Emerging Networking EXperiments and Technologies","2018"
"geng:18","Research on Early Warning System of Power Network Overloading Under Serverless Architecture","2018 2nd IEEE Conference on Energy Internet and Energy System Integration (EI2)","2018"
"gessert:17","Quaestor: Query Web Caching for Database-as-a-Service Providers","Proc. VLDB Endow.","2017"
"gimenez-alventosa:19","A framework and a performance assessment for serverless MapReduce on AWS Lambda","Future Generation Computer Systems","2019"
"gouigoux:17","From Monolith to Microservices: Lessons Learned on an Industrial Migration to a Web Oriented Architecture","2017 IEEE International Conference on Software Architecture Workshops (ICSAW)","2017"
"gracia-tinedo:19","Î›-Flow: Automatic pushdown of dataflow operators close to the data","Proceedings - 19th IEEE/ACM International Symposium on Cluster, Cloud and Grid Computing, CCGrid 2019","2019"
"gracia-tinedo:19a","lambda Flow: Automatic Pushdown of Dataflow Operators Close to the Data","2019 19TH IEEE/ACM INTERNATIONAL SYMPOSIUM ON CLUSTER, CLOUD AND GRID COMPUTING (CCGRID)","2019"
"guerraoui:17","I Know Nothing about You But Here is What You Might Like","2017 47th Annual IEEE/IFIP International Conference on Dependable Systems and Networks (DSN)","2017"
"gunasekaran:19","Spock: Exploiting Serverless Functions for SLO and Cost Aware Resource Procurement in Public Cloud","2019 IEEE 12th International Conference on Cloud Computing (CLOUD)","2019"
"gupta:18","OverSketch: Approximate Matrix Multiplication for the Cloud","2018 IEEE International Conference on Big Data (Big Data)","2018"
"halima:18","Scheduling Business Process Activities for Time-Aware Cloud Resource Allocation","On the Move to Meaningful Internet Systems. OTM 2018 Conferences","2018"
"hall:19","An Execution Model for Serverless Functions at the Edge","Proceedings of the International Conference on Internet of Things Design and Implementation","2019"
"horovitz:19","FaaStest - Machine Learning Based Cost and Performance FaaS Optimization","Economics of Grids, Clouds, Systems, and Services","2019"
"hoseinyfarahabady:17","A Dynamic Resource Controller for a Lambda Architecture","2017 46th International Conference on Parallel Processing (ICPP)","2017"
"hoseinyfarahabady:17a","A QoS-Aware Resource Allocation Controller for Function as a Service (FaaS) Platform","Service-Oriented Computing","2017"
"hoseinyfarahabady:18","A Model Predictive Controller for Managing QoS Enforcements and Microarchitecture-Level Interferences in a Lambda Platform","IEEE Transactions on Parallel and Distributed Systems","2018"
"inaltekin:18","Virtualized Control Over Fog: Interplay Between Reliability and Latency","IEEE Internet of Things Journal","2018"
"ishakian:18","Serving Deep Learning Models in a Serverless Platform","2018 IEEE International Conference on Cloud Engineering (IC2E)","2018"
"jamshidi:18","Microservices: The Journey So Far and Challenges Ahead","IEEE Software","2018"
"jangda:19","Formal Foundations of Serverless Computing","Proc. ACM Program. Lang.","2019"
"jiang:17","Serverless Execution of Scientific Workflows","Service-Oriented Computing","2017"
"joseph:19","Straddling the crevasse: A review of microservice software architecture foundations and recent advancements","Software - Practice and Experience","2019"
"kannan:19","GrandSLAm: Guaranteeing SLAs for Jobs in Microservices Execution Frameworks","Proceedings of the Fourteenth EuroSys Conference 2019","2019"
"kaplunovich:17","Cloud big data decision support system for machine learning on AWS: Analytics of analytics","2017 IEEE International Conference on Big Data (Big Data)","2017"
"kaplunovich:18","Consolidating billions of Taxi rides with AWS EMR and Spark in the Cloud : Tuning, Analytics and Best Practices","2018 IEEE International Conference on Big Data (Big Data)","2018"
"karhula:19","Checkpointing and Migration of IoT Edge Functions","Proceedings of the 2nd International Workshop on Edge Systems, Analytics and Networking","2019"
"kaufmann:19","Mira: Sharing Resources for Distributed Analytics at Small Timescales","Proceedings - 2018 IEEE International Conference on Big Data, Big Data 2018","2019"
"kijak:18","Challenges for Scheduling Scientific Workflows on Cloud Functions","2018 IEEE 11th International Conference on Cloud Computing (CLOUD)","2018"
"kim:18","Dynamic Control of CPU Usage in a Lambda Platform","2018 IEEE International Conference on Cluster Computing (CLUSTER)","2018"
"kim:18a","GPU Enabled Serverless Computing Framework","2018 26th Euromicro International Conference on Parallel, Distributed and Network-based Processing (PDP)","2018"
"kim:18b","Serverless Data Analytics with Flint","2018 IEEE 11th International Conference on Cloud Computing (CLOUD)","2018"
"kim:19","FunctionBench: A Suite of Workloads for Serverless Cloud Function Service","2019 IEEE 12th International Conference on Cloud Computing (CLOUD)","2019"
"kim:19a","Network Resource Isolation in Serverless Cloud Function Service","2019 IEEE 4th International Workshops on Foundations and Applications of Self* Systems (FAS*W)","2019"
"klimovic:18","Pocket: Elastic Ephemeral Storage for Serverless Analytics","Proceedings of the 12th USENIX Conference on Operating Systems Design and Implementation","2018"
"koller:17","Will Serverless End the Dominance of Linux in the Cloud?","Proceedings of the 16th Workshop on Hot Topics in Operating Systems","2017"
"krol:17","NFaaS: Named Function as a Service","Proceedings of the 4th ACM Conference on Information-Centric Networking","2017"
"kuhlenkamp:17","Costradamus: A Cost-Tracing System for Cloud-Based Software Services","Service-Oriented Computing","2017"
"kuhlenkamp:18","Benchmarking FaaS Platforms: Call for Community Participation","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","2018"
"kulkarni:19","Living on the Edge: Serverless Computing and the Cost of Failure Resiliency","2019 IEEE International Symposium on Local and Metropolitan Area Networks (LANMAN)","2019"
"larsson:19","Quality-Elasticity: Improved Resource Utilization, Throughput, and Response Times Via Adjusting Output Quality to Current Operating Conditions","2019 IEEE International Conference on Autonomic Computing (ICAC)","2019"
"lee:18","Evaluation of Production Serverless Computing Environments","2018 IEEE 11th International Conference on Cloud Computing (CLOUD)","2018"
"lin:18","Tracing Function Dependencies across Clouds","2018 IEEE 11th International Conference on Cloud Computing (CLOUD)","2018"
"lin:18a","Tracking Causal Order in AWS Lambda Applications","2018 IEEE International Conference on Cloud Engineering (IC2E)","2018"
"lin:19","Computation Offloading Toward Edge Computing","Proceedings of the IEEE","2019"
"ling:18","Lite-Service: A Framework to Build and Schedule Telecom Applications in Device, Edge and Cloud","2018 IEEE 20th International Conference on High Performance Computing and Communications; IEEE 16th International Conference on Smart City; IEEE 4th International Conference on Data Science and Systems (HPCC/SmartCity/DSS)","2018"
"liu:19","Dependent Task Placement and Scheduling with Function Configuration in Edge Computing","Proceedings of the International Symposium on Quality of Service","2019"
"lloyd:18","Improving Application Migration to Serverless Computing Platforms: Latency Mitigation with Keep-Alive Workloads","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","2018"
"lloyd:18a","Serverless Computing: An Investigation of Factors Influencing Microservice Performance","2018 IEEE International Conference on Cloud Engineering (IC2E)","2018"
"lopez:18","Comparison of FaaS Orchestration Systems","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","2018"
"malawski:17","Serverless execution of scientific workflows: Experiments with HyperFlow, AWS Lambda and Google Cloud Functions","Future Generation Computer Systems","2017"
"malawski:18","Benchmarking Heterogeneous Cloud Functions","Euro-Par 2017: Parallel Processing Workshops","2018"
"manco:17","My VM is Lighter (and Safer) than your Container","SOSP 2017 - Proceedings of the 26th ACM Symposium on Operating Systems Principles","2017"
"manner:18","Cold Start Influencing Factors in Function as a Service","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","2018"
"manner:19","Troubleshooting Serverless functions: a combined monitoring and debugging approach","SICS Software-Intensive Cyber-Physical Systems","2019"
"marefat:19","Serverless Data Parallelization for Training and Retraining of Deep Learning Architecture in Patient-Specific Arrhythmia Detection","2019 IEEE EMBS International Conference on Biomedical Health Informatics (BHI)","2019"
"matsumoto:19","FastContainer: A Homeostatic System Architecture High-Speed Adapting Execution Environment Changes","2019 IEEE 43rd Annual Computer Software and Applications Conference (COMPSAC)","2019"
"mcgrath:16","Cloud Event Programming Paradigms: Applications and Analysis","2016 IEEE 9th International Conference on Cloud Computing (CLOUD)","2016"
"mcgrath:17","Serverless Computing: Design, Implementation, and Performance","2017 IEEE 37th International Conference on Distributed Computing Systems Workshops (ICDCSW)","2017"
"medel:18","Characterising resource management performance in Kubernetes","Computers & Electrical Engineering","2018"
"meiundefinedner:18","Towards Time Travel in Distributed Event-Sourced Systems","Proceedings of the 12th ACM International Conference on Distributed and Event-Based Systems","2018"
"merelo-guervos:18","Introducing an Event-Based Architecture for Concurrent and Distributed Evolutionary Algorithms","Parallel Problem Solving from Nature -- PPSN XV","2018"
"moczurad:18","Visual-Textual Framework for Serverless Computation: A Luna Language Approach","2018 IEEE/ACM International Conference on Utility and Cloud Computing Companion (UCC Companion)","2018"
"mohan:19","Agile Cold Starts for Scalable Serverless","Proceedings of the 11th USENIX Conference on Hot Topics in Cloud Computing","2019"
"mohanty:18","An Evaluation of Open Source Serverless Computing Frameworks","2018 IEEE International Conference on Cloud Computing Technology and Science (CloudCom)","2018"
"mortazavi:17","Cloudpath: A Multi-Tier Cloud Computing Framework","Proceedings of the Second ACM/IEEE Symposium on Edge Computing","2017"
"mostajeran:17","Quantitative risk assessment of container based cloud platform","2017 IEEE Conference on Application, Information and Network Security (AINS)","2017"
"mujezinovic:19","Serverless architecture for workflow scheduling with unconstrained execution environment","2019 42nd International Convention on Information and Communication Technology, Electronics and Microelectronics, MIPRO 2019 - Proceedings","2019"
"mukhi:17","Using a Serverless Framework for Implementing a Cognitive Tutor: Experiences and Issues","Proceedings of the 2nd International Workshop on Serverless Computing","2017"
"murray:18","Scheduling Distributed Clusters of Parallel Machines : Primal-Dual and LP-based Approximation Algorithms","Algorithmica","2018"
"nadgowda:17","The Less Server Architecture for Cloud Functions","Proceedings of the 2nd International Workshop on Serverless Computing","2017"
"nayak:19","Automated notification for improper use of AWS resources","International Journal of Recent Technology and Engineering","2019"
"niu:19","Leveraging Serverless Computing to Improve Performance for Sequence Comparison","Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics","2019"
"oakes:18","SOCK: Rapid Task Provisioning with Serverless-Optimized Containers","Proceedings of the 2018 USENIX Conference on Usenix Annual Technical Conference","2018"
"parres-peredo:19","Building and Evaluating User Network Profiles for Cybersecurity Using Serverless Architecture","2019 42nd International Conference on Telecommunications and Signal Processing (TSP)","2019"
"pelle:19","Towards Latency Sensitive Cloud Native Applications: A Performance Study on AWS","2019 IEEE 12th International Conference on Cloud Computing (CLOUD)","2019"
"perez:19","On-Premises Serverless Computing for Event-Driven Data Processing Applications","2019 IEEE 12th International Conference on Cloud Computing (CLOUD)","2019"
"perez:19a","A Programming Model and Middleware for High Throughput Serverless Computing Applications","Proceedings of the 34th ACM/SIGAPP Symposium on Applied Computing","2019"
"pinto:18","Dynamic Allocation of Serverless Functions in IoT Environments","2018 IEEE 16th International Conference on Embedded and Ubiquitous Computing (EUC)","2018"
"power:18","Revenue Growth is the Primary Benefit of the Cloud","IEEE Cloud Computing","2018"
"pu:19","Shuffling, Fast and Slow: Scalable Analytics on Serverless Infrastructure","Proceedings of the 16th USENIX Conference on Networked Systems Design and Implementation","2019"
"puripunpinyo:17","Effect of optimizing Java deployment artifacts on AWS Lambda","2017 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)","2017"
"reddy:18","Big Data Processing and Access Controls in Cloud Environment","2018 IEEE 4th International Conference on Big Data Security on Cloud (BigDataSecurity), IEEE International Conference on High Performance and Smart Computing, (HPSC) and IEEE International Conference on Intelligent Data and Security (IDS)","2018"
"rosati:19","Right Scaling for Right Pricing: A Case Study on Total Cost of Ownership Measurement for Cloud Migration","Cloud Computing and Services Science","2019"
"saha:18","EMARS: Efficient Management and Allocation of Resources in Serverless","2018 IEEE 11th International Conference on Cloud Computing (CLOUD)","2018"
"sahli:15","Automatic tuning of bag-of-tasks applications","2015 IEEE 31st International Conference on Data Engineering","2015"
"sampe:17","Data-Driven Serverless Functions for Object Storage","Proceedings of the 18th ACM/IFIP/USENIX Middleware Conference","2017"
"sampe:18","Serverless Data Analytics in the IBM Cloud","Proceedings of the 19th International Middleware Conference Industry","2018"
"shahrad:19","Architectural Implications of Function-as-a-Service Computing","Proceedings of the 52nd Annual IEEE/ACM International Symposium on Microarchitecture","2019"
"shen:18","Composite Structure Design and Analysis","Composite Materials Engineering, Volume 1","2018"
"singhvi:17","Granular Computing and Network Intensive Applications: Friends or Foes?","Proceedings of the 16th ACM Workshop on Hot Topics in Networks","2017"
"spillner:18","FaaSter, Better, Cheaper: The Prospect of Serverless Scientific Computing and HPC","High Performance Computing","2018"
"stigler:18","Azure","Beginning Serverless Computing","2018"
"subotic:18","Automatic index selection for large-scale datalog computation","Proceedings of the VLDB Endowment","2018"
"suleiman:17","Gridless compressed sensing for fully augmentable arrays","2017 25th European Signal Processing Conference (EUSIPCO)","2017"
"toader:19","Graphless: Toward Serverless Graph Processing","2019 18th International Symposium on Parallel and Distributed Computing (ISPDC)","2019"
"tonellotto:18","Efficient Query Processing for Scalable Web Search","","2018"
"trach:19","Clemmys: Towards Secure Remote Execution in FaaS","Proceedings of the 12th ACM International Conference on Systems and Storage","2019"
"ullah:19","Design and Implementation of an Open Source Framework and Prototype For Named Data Networking-Based Edge Cloud Computing System","IEEE Access","2019"
"vance:19","Towards Reliability in Online High-Churn Edge Computing: A Deviceless Pipelining Approach","2019 IEEE International Conference on Smart Computing (SMARTCOMP)","2019"
"vazquez-poletti:18","Serverless Computing: From Planet Mars to the Cloud","Computing in Science Engineering","2018"
"villamizar:17","Cost comparison of running web applications in the cloud using monolithic, microservice, and AWS Lambda architectures","Service Oriented Computing and Applications","2017"
"wang:18","Peeking behind the Curtains of Serverless Platforms","Proceedings of the 2018 USENIX Conference on Usenix Annual Technical Conference","2018"
"wang:19","Distributed Machine Learning with a Serverless Architecture","IEEE INFOCOM 2019 - IEEE Conference on Computer Communications","2019"
"wang:19a","Reg: An Ultra-Lightweight Container That Maximizes Memory Sharing and Minimizes the Runtime Environment","2019 IEEE International Conference on Web Services (ICWS)","2019"
"werner:18","Serverless Big Data Processing using Matrix Multiplication as Example","2018 IEEE International Conference on Big Data (Big Data)","2018"
"wimmer:19","Initialize Once, Start Fast: Application Initialization at Build Time","Proc. ACM Program. Lang.","2019"
"xiong:18","Extend Cloud to Edge with KubeEdge","2018 IEEE/ACM Symposium on Edge Computing (SEC)","2018"
"yi:17","LAVEA: Latency-Aware Video Analytics on Edge Computing Platform","Proceedings of the Second ACM/IEEE Symposium on Edge Computing","2017"
"yu:19","Crawled data analysis on Baidu API website for improving SaaS platform (Short Paper)","Lecture Notes of the Institute for Computer Sciences, Social-Informatics and Telecommunications Engineering, LNICST","2019"
"zhang:19","MArk: Exploiting Cloud Services for Cost-Effective, SLO-Aware Machine Learning Inference Serving","Proceedings of the 2019 USENIX Conference on Usenix Annual Technical Conference","2019"
"zhang:19a","Video Processing with Serverless Computing: A Measurement Study","Proceedings of the 29th ACM Workshop on Network and Operating Systems Support for Digital Audio and Video","2019"
"zhao:18","Data Analytics Service Composition and Deployment on Edge Devices","Proceedings of the 2018 Workshop on Big Data Analytics and Machine Learning for Data Communication Networks","2018"
"zheng:19","Dynashield: Reducing the Cost of DDoS Defense Using Cloud Services","Proceedings of the 11th USENIX Conference on Hot Topics in Cloud Computing","2019"
"zhou:18","CloudsStorm: An Application-Driven Framework to Enhance the Programmability and Controllability of Cloud Virtual Infrastructures","Cloud Computing -- CLOUD 2018","2018"
